iq,prev_sem_result,cgpa,academic_performance,internship_experience,extra_curricular_score,communication_skills,projects_completed,cgpa_bucket,has_internship,academic_score,skill_score
125,9.04,8.97,5,Yes,4,10,2,high,1,6.616,16
71,8.06,8.1,8,No,6,10,1,high,0,8.024000000000001,17
119,5.97,5.82,7,No,6,2,4,low,0,6.588,12
96,7.37,7.11,9,No,10,10,4,medium,0,8.347999999999999,24
112,8.41,8.58,2,No,3,3,3,high,0,4.564,9
101,8.17,8.05,9,No,7,6,1,high,0,8.668,14
117,7.14,7.27,10,No,10,4,0,medium,0,8.856,14
94,9.5,9.78,5,No,9,2,5,high,0,6.800000000000001,16
83,7.6,7.86,5,No,8,1,2,high,0,6.04,11
121,7.53,7.41,1,No,3,3,3,medium,0,3.6120000000000005,9
98,5.31,5.38,6,No,1,4,2,low,0,5.724,7
103,9.61,9.56,10,No,9,9,0,high,0,9.844,18
118,5.89,6.26,10,No,3,9,0,medium,0,8.356,12
84,7.64,8.02,10,No,1,5,5,high,0,9.056000000000001,11
108,9.02,8.86,10,Yes,0,5,2,high,1,9.608,7
91,6.08,5.67,3,No,0,7,3,low,0,4.232,10
98,7.64,7.31,10,Yes,10,8,0,medium,1,9.056000000000001,18
101,6.2,6.07,3,No,3,3,4,medium,0,4.28,10
77,8.8,8.86,3,No,8,5,4,high,0,5.32,17
88,7.82,7.98,4,No,8,7,4,high,0,5.5280000000000005,19
120,9.28,9.11,9,No,6,2,5,high,0,9.111999999999998,13
113,9.47,9.64,8,Yes,4,9,3,high,1,8.588000000000001,16
99,8.24,8.68,6,No,5,3,3,high,0,6.896,11
103,8.63,8.78,8,No,0,7,1,high,0,8.252,8
95,7.75,7.41,8,Yes,2,9,1,medium,1,7.9,12
120,6.92,7.0,1,Yes,0,9,5,medium,1,3.3680000000000003,14
96,8.24,8.28,9,Yes,9,3,5,high,1,8.696,17
103,9.54,9.91,1,No,4,2,4,high,0,4.4159999999999995,10
117,7.08,6.93,2,Yes,3,5,5,medium,1,4.032,13
88,6.57,6.49,9,Yes,2,5,2,medium,1,8.027999999999999,9
123,6.94,7.04,7,Yes,5,8,2,medium,1,6.976000000000001,15
77,7.18,7.2,10,No,5,6,4,medium,0,8.872,15
124,5.37,5.59,1,No,8,7,1,low,0,2.748,16
94,7.49,7.03,3,No,3,8,3,medium,0,4.796,14
96,7.47,7.53,1,No,8,9,2,high,0,3.588,19
71,7.94,7.56,5,Yes,3,4,3,high,1,6.176,10
93,6.81,6.63,4,No,7,5,4,medium,0,5.1240000000000006,16
84,8.07,8.23,8,Yes,7,4,3,high,1,8.028,14
90,9.39,9.05,9,Yes,1,9,2,high,1,9.155999999999999,12
97,9.78,9.59,4,Yes,9,2,5,high,1,6.311999999999999,16
114,7.92,8.12,3,Yes,7,8,1,high,1,4.968,16
103,5.21,5.36,4,Yes,1,7,2,low,1,4.484,10
104,9.85,9.44,3,No,10,7,0,high,0,5.74,17
83,8.53,8.61,6,Yes,7,8,3,high,1,7.012,18
86,6.68,6.33,1,No,5,1,3,medium,0,3.2720000000000002,9
126,5.74,5.49,2,No,2,1,3,low,0,3.4960000000000004,6
88,5.72,5.68,8,No,10,7,4,low,0,7.087999999999999,21
124,5.84,5.45,3,No,6,2,4,low,0,4.135999999999999,12
96,5.23,5.72,4,No,5,4,2,low,0,4.492,11
100,9.51,9.18,1,Yes,2,6,1,high,1,4.404,9
116,7.7,7.98,3,No,4,5,0,high,0,4.88,9
119,8.5,8.83,1,Yes,3,5,1,high,1,4.0,9
98,9.14,9.63,10,No,5,6,5,high,0,9.656,16
94,8.96,8.89,5,Yes,0,10,1,high,1,6.5840000000000005,11
99,9.41,9.78,1,Yes,0,7,0,high,1,4.364,7
105,9.84,10.3,9,No,7,2,4,,0,9.335999999999999,13
113,7.2,6.87,7,Yes,7,4,3,medium,1,7.08,14
100,9.75,9.73,8,No,8,7,4,high,0,8.7,19
109,8.62,8.18,9,No,7,5,3,high,0,8.847999999999999,15
124,5.35,5.47,10,No,1,10,3,low,0,8.14,14
105,8.41,8.49,8,No,10,9,4,high,0,8.164,23
104,8.43,8.13,3,Yes,4,6,1,high,1,5.172,11
77,9.53,9.83,7,No,7,4,3,high,0,8.012,14
60,6.86,6.4,7,No,8,10,4,medium,0,6.944000000000001,22
105,7.92,8.23,7,No,5,4,1,high,0,7.368,10
98,5.06,4.59,8,No,3,3,0,low,0,6.824,6
92,6.66,6.82,4,No,8,6,3,medium,0,5.064,17
103,5.31,4.89,6,No,3,8,1,low,0,5.724,12
99,7.61,7.36,2,No,5,1,3,medium,0,4.244000000000001,9
116,9.09,9.31,7,No,4,2,5,high,0,7.836,11
101,6.03,5.81,9,No,0,4,1,low,0,7.811999999999999,5
88,7.64,7.65,5,Yes,3,7,0,high,1,6.056,10
114,6.02,6.44,4,No,9,2,3,medium,0,4.808,14
96,5.6,5.15,2,Yes,2,10,4,low,1,3.4399999999999995,16
107,7.55,7.86,7,No,7,8,5,high,0,7.220000000000001,20
92,5.4,4.97,2,No,6,3,5,low,0,3.3600000000000003,14
90,7.94,7.57,2,No,9,2,5,high,0,4.376,16
101,5.16,4.78,9,No,0,7,1,low,0,7.4639999999999995,8
100,5.53,6.02,2,No,10,10,0,medium,0,3.412,20
107,7.75,7.43,10,Yes,7,9,3,medium,1,9.1,19
95,7.96,8.36,3,Yes,6,4,0,high,1,4.984,10
72,5.14,5.63,3,No,1,2,0,low,0,3.856,3
93,7.87,7.75,2,Yes,9,9,3,high,1,4.348,21
111,9.19,9.32,10,No,3,10,3,high,0,9.676,16
95,8.61,8.89,3,Yes,1,5,1,high,1,5.244,7
96,5.66,5.55,9,No,8,10,5,low,0,7.664,23
114,7.96,7.62,3,Yes,7,7,4,high,1,4.984,18
89,8.36,8.29,5,Yes,0,10,5,high,1,6.343999999999999,15
76,5.19,5.46,7,Yes,0,5,5,low,1,6.276,10
97,9.28,9.56,1,Yes,7,5,0,high,1,4.311999999999999,12
92,9.53,9.26,1,Yes,4,6,5,high,1,4.412,15
85,9.25,8.92,10,No,0,5,3,high,0,9.7,8
97,9.12,9.54,2,Yes,10,8,0,high,1,4.848,18
107,8.72,8.26,1,Yes,3,4,5,high,1,4.088,12
99,8.17,8.4,1,No,1,3,1,high,0,3.8680000000000003,5
104,8.39,7.94,10,No,8,3,1,high,0,9.356,12
127,9.03,9.37,4,No,9,2,1,high,0,6.0120000000000005,12
94,8.31,8.72,10,No,5,8,4,high,0,9.324,17
104,6.64,6.44,3,No,10,7,2,medium,0,4.4559999999999995,19
92,6.88,6.45,1,No,8,6,2,medium,0,3.3520000000000003,16
87,9.49,9.47,3,Yes,0,2,5,high,1,5.596,7
91,5.09,4.89,1,No,0,2,2,low,0,2.636,4
92,8.49,8.41,3,No,10,10,4,high,0,5.196,24
105,9.77,9.93,4,No,3,1,4,high,0,6.308,8
135,8.53,8.24,8,Yes,1,10,0,high,1,8.212,11
89,9.97,9.83,3,Yes,0,2,0,high,1,5.788,2
93,8.44,8.72,3,No,5,9,1,high,0,5.176,15
99,5.17,5.31,9,Yes,7,1,4,low,1,7.468,12
105,9.14,8.97,9,Yes,0,10,5,high,1,9.056000000000001,15
103,6.42,6.58,6,Yes,10,4,2,medium,1,6.167999999999999,16
119,7.23,7.5,10,No,10,2,2,medium,0,8.892,14
63,6.56,6.65,4,No,9,5,0,medium,0,5.024,14
64,6.34,6.08,10,No,9,10,1,medium,0,8.536,20
92,7.16,6.66,5,No,5,8,1,medium,0,5.864000000000001,14
116,6.89,7.19,9,Yes,0,1,5,medium,1,8.155999999999999,6
76,8.17,8.49,1,No,7,9,3,high,0,3.8680000000000003,19
54,9.07,9.27,7,Yes,5,7,4,high,1,7.828,16
108,6.49,6.07,7,No,0,5,2,medium,0,6.796,7
103,6.07,6.16,10,No,8,5,5,medium,0,8.428,18
83,8.33,8.65,1,Yes,0,9,2,high,1,3.9320000000000004,11
85,8.35,8.24,1,No,8,9,0,high,0,3.94,17
85,9.51,9.21,9,No,2,2,0,high,0,9.204,4
101,5.08,5.17,7,No,7,8,4,low,0,6.232,19
90,9.27,9.6,4,Yes,7,5,5,high,1,6.1080000000000005,17
107,7.61,7.16,9,Yes,6,2,5,medium,1,8.443999999999999,13
57,8.11,8.21,5,Yes,1,9,0,high,1,6.244,10
87,5.46,5.6,3,Yes,2,4,5,low,1,3.984,11
83,7.16,7.26,2,No,4,5,0,medium,0,4.064,9
96,6.14,6.29,9,No,4,7,2,medium,0,7.856,13
91,6.27,6.4,4,No,1,2,4,medium,0,4.9079999999999995,7
111,7.52,7.15,7,Yes,0,5,2,medium,1,7.208,7
72,9.06,8.79,1,Yes,4,8,2,high,1,4.224,14
100,8.72,8.84,9,No,4,1,0,high,0,8.888,5
108,7.95,7.47,9,No,2,8,2,medium,0,8.58,12
127,7.7,7.83,10,Yes,7,2,4,high,1,9.08,13
92,7.14,7.31,6,No,5,4,0,medium,0,6.4559999999999995,9
104,9.86,9.6,6,Yes,1,3,4,high,1,7.544,8
72,7.8,7.9,6,No,1,2,1,high,0,6.72,4
64,6.27,6.3,5,Yes,3,10,4,medium,1,5.508,17
112,6.15,5.91,1,No,5,10,4,low,0,3.0600000000000005,19
99,8.06,8.02,4,No,8,2,3,high,0,5.6240000000000006,13
117,7.61,8.02,10,No,7,10,5,high,0,9.044,22
79,5.04,4.97,1,Yes,7,6,5,low,1,2.616,18
107,9.15,9.28,5,No,1,3,4,high,0,6.66,8
128,8.52,8.06,4,Yes,10,10,2,high,1,5.808,22
106,8.31,7.89,8,No,3,4,2,high,0,8.124,9
104,5.34,4.92,1,No,5,4,5,low,0,2.736,14
100,6.81,7.09,8,Yes,5,2,0,medium,1,7.524,7
76,9.68,9.53,8,No,9,4,5,high,0,8.672,18
120,9.31,9.04,1,No,5,2,1,high,0,4.324,8
90,6.43,6.68,9,Yes,7,4,0,medium,1,7.9719999999999995,11
107,5.79,5.46,9,Yes,7,8,4,low,1,7.715999999999999,19
76,7.25,7.0,6,No,6,9,5,medium,0,6.5,20
82,6.78,6.71,1,No,4,4,4,medium,0,3.3120000000000003,12
121,8.41,8.24,7,Yes,5,4,2,high,1,7.564,11
94,9.83,9.92,7,Yes,5,7,4,high,1,8.132000000000001,16
121,6.82,6.66,9,Yes,2,1,5,medium,1,8.128,8
98,5.31,5.2,1,Yes,10,7,5,low,1,2.724,22
72,9.49,9.85,8,Yes,2,9,5,high,1,8.596,16
113,5.19,5.57,8,No,6,4,4,low,0,6.8759999999999994,14
91,9.76,10.09,7,Yes,5,2,2,,1,8.104,9
110,8.32,8.68,6,Yes,4,4,1,high,1,6.928,9
100,9.71,9.78,1,No,10,2,4,high,0,4.484,16
76,6.0,6.15,10,Yes,5,10,3,medium,1,8.4,18
102,5.2,5.26,8,No,5,7,1,low,0,6.88,13
132,7.44,7.73,5,Yes,3,6,1,high,1,5.976000000000001,10
107,7.25,7.3,4,No,10,2,5,medium,0,5.300000000000001,17
99,6.66,6.27,5,No,4,6,2,medium,0,5.664,12
116,9.79,10.1,5,Yes,6,9,0,,1,6.916,15
103,9.11,9.37,10,No,10,8,5,high,0,9.644,23
103,8.31,8.63,3,No,10,9,5,high,0,5.1240000000000006,24
83,5.81,5.5,4,Yes,0,5,4,low,1,4.724,9
103,8.67,8.44,4,No,9,10,4,high,0,5.868,23
115,8.64,8.44,8,No,5,2,0,high,0,8.256,7
87,7.13,7.14,5,No,4,5,4,medium,0,5.852,13
121,9.62,9.25,6,Yes,5,10,3,high,1,7.4479999999999995,18
98,5.83,5.72,10,Yes,0,3,0,low,1,8.332,3
86,6.34,6.02,2,No,3,4,2,medium,0,3.7359999999999998,9
114,5.32,5.08,9,Yes,7,7,0,low,1,7.528,14
95,8.98,9.19,8,No,3,2,1,high,0,8.392,6
111,8.11,8.46,8,No,9,6,2,high,0,8.044,17
95,6.57,6.09,10,No,7,1,1,medium,0,8.628,9
99,5.82,5.89,5,No,10,10,2,low,0,5.328,22
107,5.2,4.74,5,No,7,3,0,low,0,5.08,10
104,5.83,5.42,3,No,1,7,1,low,0,4.132,9
70,7.27,7.48,2,No,5,5,2,medium,0,4.108,12
83,6.24,6.48,9,Yes,6,8,4,medium,1,7.896,18
113,6.29,6.6,6,No,6,7,1,medium,0,6.116,14
98,9.38,9.35,8,Yes,0,7,3,high,1,8.552,10
92,7.58,7.94,4,Yes,3,1,2,high,1,5.432,6
79,8.65,8.32,5,No,6,1,5,high,0,6.460000000000001,12
83,5.18,4.93,10,No,5,6,5,low,0,8.072,16
69,6.83,6.46,5,No,2,8,5,medium,0,5.732,15
98,7.4,7.7,10,No,9,3,5,high,0,8.96,17
91,5.93,5.66,4,No,9,8,4,low,0,4.772,21
85,5.6,5.26,2,No,0,8,4,low,0,3.4399999999999995,12
98,9.35,9.47,6,No,4,1,5,high,0,7.34,10
105,9.7,9.28,4,No,10,5,5,high,0,6.279999999999999,20
131,5.39,4.93,4,No,7,9,0,low,0,4.556,16
77,6.75,6.36,10,Yes,2,10,5,medium,1,8.7,17
117,9.79,9.29,3,No,4,10,5,high,0,5.715999999999999,19
114,5.42,5.62,8,No,8,3,0,low,0,6.968,11
88,8.22,8.28,6,No,7,9,5,high,0,6.888,21
103,9.86,9.57,9,No,10,9,5,high,0,9.344,24
93,9.89,9.62,5,No,8,1,1,high,0,6.956,10
102,7.36,7.67,6,No,4,2,1,high,0,6.5440000000000005,7
122,5.81,5.81,9,No,2,3,3,low,0,7.723999999999999,8
109,6.01,6.21,4,No,10,4,4,medium,0,4.804,18
107,9.45,9.4,10,No,8,5,2,high,0,9.78,15
93,9.56,9.3,7,Yes,3,5,3,high,1,8.024000000000001,11
77,8.04,8.51,10,No,0,10,5,high,0,9.216,15
96,8.83,8.9,10,Yes,10,5,3,high,1,9.532,18
118,8.7,8.33,6,No,1,3,3,high,0,7.08,7
77,8.31,8.22,6,No,7,6,5,high,0,6.9239999999999995,18
84,9.14,8.97,6,Yes,1,4,2,high,1,7.256,7
101,8.43,8.14,4,Yes,5,9,5,high,1,5.772,19
85,7.67,8.1,10,No,4,2,3,high,0,9.068,9
88,6.18,6.56,6,No,8,1,0,medium,0,6.071999999999999,9
93,8.72,8.42,7,No,7,7,0,high,0,7.688000000000001,14
79,7.37,7.22,2,No,0,9,0,medium,0,4.148000000000001,9
85,6.47,6.73,9,No,2,10,3,medium,0,7.9879999999999995,15
110,9.01,8.72,7,No,4,9,3,high,0,7.804,16
80,8.48,8.57,3,Yes,7,3,4,high,1,5.192,14
76,9.69,9.89,10,Yes,6,1,1,high,1,9.876,8
90,5.83,5.98,10,Yes,1,9,4,low,1,8.332,14
110,8.25,8.46,7,Yes,6,7,5,high,1,7.5,18
97,6.22,6.43,10,No,4,8,0,medium,0,8.488,12
93,9.52,9.98,10,No,5,6,1,high,0,9.808,12
100,5.5,5.35,5,No,7,10,4,low,0,5.2,21
73,8.28,8.66,9,No,4,6,2,high,0,8.712,12
107,8.96,8.48,6,No,8,4,2,high,0,7.184,14
105,6.77,6.56,7,Yes,0,2,2,medium,1,6.908,4
93,9.77,9.32,4,No,4,1,0,high,0,6.308,5
115,9.25,9.4,2,No,0,6,1,high,0,4.9,7
83,6.47,6.07,4,Yes,0,9,0,medium,1,4.9879999999999995,9
116,5.04,5.39,9,No,0,10,2,low,0,7.4159999999999995,12
102,6.48,6.63,3,No,4,10,3,medium,0,4.392,17
94,6.41,5.94,7,Yes,8,2,0,low,1,6.764,10
99,9.45,9.66,4,No,1,1,1,high,0,6.18,3
98,9.84,10.2,3,Yes,5,1,0,,1,5.736,6
118,5.35,5.51,5,No,4,7,1,low,0,5.140000000000001,12
83,7.36,6.89,2,No,6,1,5,medium,0,4.144,12
88,7.74,8.1,10,No,6,9,3,high,0,9.096,18
115,5.46,5.69,4,Yes,2,9,4,low,1,4.584,15
91,6.89,6.77,7,No,5,3,1,medium,0,6.956,9
113,6.59,6.42,2,No,2,2,1,medium,0,3.8360000000000003,5
125,7.68,7.66,10,Yes,1,9,2,high,1,9.072,12
93,8.31,8.68,6,Yes,4,3,2,high,1,6.9239999999999995,9
110,8.52,8.27,5,Yes,3,2,3,high,1,6.4079999999999995,8
82,5.68,5.28,3,No,3,4,5,low,0,4.071999999999999,12
111,9.06,9.42,5,Yes,3,7,5,high,1,6.6240000000000006,15
102,8.39,7.92,10,No,7,4,0,high,0,9.356,11
107,9.45,9.86,7,No,0,8,4,high,0,7.98,12
90,7.25,7.06,3,No,2,5,4,medium,0,4.7,11
75,9.47,9.48,8,No,8,2,3,high,0,8.588000000000001,13
107,9.33,8.96,7,No,2,10,4,high,0,7.932,16
69,7.19,7.59,4,Yes,0,4,0,high,1,5.276,4
95,6.91,7.16,5,No,4,7,2,medium,0,5.764,13
114,9.66,10.08,10,Yes,3,1,5,,1,9.864,9
102,8.58,8.76,4,No,9,7,3,high,0,5.832000000000001,19
129,9.64,9.32,2,No,7,3,4,high,0,5.056,14
115,8.98,8.79,9,Yes,10,7,5,high,1,8.992,22
90,8.05,8.04,1,No,10,3,3,high,0,3.8200000000000007,16
100,5.58,5.69,8,Yes,8,8,3,low,1,7.032,19
99,6.46,6.89,4,No,9,4,1,medium,0,4.984,14
76,9.84,9.72,9,No,4,1,1,high,0,9.335999999999999,6
85,6.6,6.8,3,Yes,0,1,3,medium,1,4.4399999999999995,4
91,5.47,5.93,7,No,3,4,5,low,0,6.388,12
69,8.54,8.19,3,No,2,9,1,high,0,5.215999999999999,12
100,8.67,9.03,10,Yes,5,5,4,high,1,9.468,14
96,6.43,6.35,7,Yes,1,5,3,medium,1,6.772,9
74,6.49,6.72,2,Yes,4,3,1,medium,1,3.7960000000000003,8
106,7.34,7.13,3,Yes,7,5,4,medium,1,4.736,16
110,5.11,4.94,8,No,10,7,2,low,0,6.843999999999999,19
103,8.95,8.48,7,No,4,3,2,high,0,7.78,9
95,6.59,7.06,3,Yes,4,5,5,medium,1,4.436,14
108,9.27,9.58,8,Yes,7,3,3,high,1,8.508,13
110,9.01,8.6,9,No,10,1,0,high,0,9.004,11
104,8.31,8.81,2,No,4,6,4,high,0,4.524,14
87,6.62,6.73,2,Yes,3,3,5,medium,1,3.848,11
104,7.58,7.93,7,Yes,9,2,5,high,1,7.232,16
117,7.22,6.79,8,No,8,3,5,medium,0,7.688,16
91,6.69,6.58,5,No,1,5,3,medium,0,5.676,9
131,9.24,9.41,2,Yes,0,5,1,high,1,4.896,6
92,7.42,7.03,10,No,3,9,2,medium,0,8.968,14
100,9.16,9.15,5,No,9,9,1,high,0,6.664,19
89,5.53,5.47,3,No,2,2,4,low,0,4.0120000000000005,8
103,5.71,5.43,9,No,8,6,3,low,0,7.683999999999999,17
73,9.89,9.69,2,Yes,2,9,5,high,1,5.156000000000001,16
91,7.94,8.41,9,No,2,9,2,high,0,8.576,13
83,7.55,7.34,2,No,9,6,4,medium,0,4.22,19
102,7.62,7.33,1,Yes,6,1,2,medium,1,3.648,9
114,6.08,6.12,10,No,1,1,5,medium,0,8.432,7
109,8.59,8.76,6,Yes,10,9,2,high,1,7.036,21
64,5.42,5.65,6,No,7,3,3,low,0,5.768,13
130,7.87,8.12,4,Yes,5,5,3,high,1,5.548,13
104,7.85,7.39,2,No,10,6,0,medium,0,4.34,16
88,9.57,9.46,10,No,8,1,0,high,0,9.828,9
102,7.63,7.9,3,No,7,1,0,high,0,4.852,8
102,5.69,6.09,6,No,3,4,0,medium,0,5.8759999999999994,7
89,7.86,7.96,4,Yes,7,6,5,high,1,5.5440000000000005,18
102,5.46,5.01,5,No,3,8,1,low,0,5.184,12
90,6.02,5.92,9,No,10,7,0,low,0,7.808,17
93,5.16,4.73,5,Yes,4,2,1,low,1,5.064,7
89,7.57,7.82,10,No,10,4,2,high,0,9.028,16
78,5.42,4.98,8,Yes,9,5,1,low,1,6.968,15
102,7.35,7.04,2,No,10,8,2,medium,0,4.14,20
108,9.66,9.58,6,Yes,6,7,0,high,1,7.464,13
107,8.6,8.56,6,Yes,5,4,1,high,1,7.039999999999999,10
112,5.39,5.3,5,No,4,8,2,low,0,5.156000000000001,14
104,6.12,6.08,6,No,1,8,0,medium,0,6.048,9
92,8.37,8.58,5,No,4,4,5,high,0,6.348,13
112,9.47,9.34,2,Yes,9,2,2,high,1,4.988,13
79,5.16,5.21,5,Yes,6,3,3,low,1,5.064,12
86,9.06,8.86,1,No,10,5,2,high,0,4.224,17
85,7.81,7.66,3,No,5,1,0,high,0,4.9239999999999995,6
116,7.73,7.84,7,Yes,5,5,5,high,1,7.292000000000001,15
114,9.79,9.78,4,No,4,4,4,high,0,6.316,12
107,8.74,8.96,8,Yes,8,5,3,high,1,8.296,16
116,9.25,9.31,3,No,0,1,1,high,0,5.5,2
86,6.77,7.07,7,No,3,10,3,medium,0,6.908,16
105,7.77,7.71,2,Yes,6,7,0,high,1,4.308,13
98,8.08,8.07,8,Yes,0,10,2,high,1,8.032,12
112,6.61,6.78,3,Yes,10,9,4,medium,1,4.444,23
98,7.85,7.57,6,Yes,3,5,0,high,1,6.74,8
94,6.18,6.07,2,No,5,3,5,medium,0,3.6719999999999997,13
108,5.72,5.84,7,No,9,9,2,low,0,6.4879999999999995,20
113,6.87,6.4,4,No,7,6,5,medium,0,5.148,18
89,8.7,8.64,6,No,6,6,5,high,0,7.08,17
99,9.58,9.68,2,Yes,8,10,0,high,1,5.032,18
84,7.29,7.76,3,Yes,6,10,5,high,1,4.716,21
62,8.21,8.59,3,Yes,2,3,4,high,1,5.0840000000000005,9
103,5.52,5.3,4,No,9,1,2,low,0,4.608,12
109,9.52,9.53,1,No,3,4,4,high,0,4.4079999999999995,11
103,7.84,7.4,6,No,2,4,2,medium,0,6.736,8
70,8.9,8.64,6,No,8,3,3,high,0,7.16,14
94,8.97,9.24,4,Yes,10,5,0,high,1,5.988,15
66,6.28,5.9,8,No,10,9,1,low,0,7.312,20
120,7.65,7.41,5,No,7,9,1,medium,0,6.0600000000000005,17
83,9.8,10.24,10,No,9,8,0,,0,9.92,17
118,5.45,5.77,4,No,8,10,5,low,0,4.58,23
114,8.42,8.7,7,Yes,9,6,5,high,1,7.5680000000000005,20
86,9.81,10.17,10,No,9,4,1,,0,9.924,14
83,6.5,6.75,10,No,1,2,4,medium,0,8.6,7
105,9.31,8.93,8,No,4,10,1,high,0,8.524000000000001,15
87,9.67,9.69,2,Yes,4,3,0,high,1,5.0680000000000005,7
101,8.74,8.68,1,Yes,6,9,5,high,1,4.096,20
92,6.16,5.97,6,Yes,3,1,3,low,1,6.064,7
73,6.67,7.0,2,No,3,7,5,medium,0,3.8680000000000003,15
66,5.18,5.14,8,Yes,7,10,0,low,1,6.872,17
103,9.16,8.72,5,Yes,0,6,0,high,1,6.664,6
91,9.25,9.02,2,No,5,2,2,high,0,4.9,9
91,8.16,7.89,5,No,8,5,1,high,0,6.264,14
110,6.76,7.15,2,Yes,1,2,1,medium,1,3.904,4
117,5.38,5.53,6,Yes,4,9,2,low,1,5.752,15
95,8.77,8.83,8,Yes,9,5,4,high,1,8.308,18
94,8.63,8.64,2,No,9,6,4,high,0,4.652,19
107,9.56,9.71,6,No,8,4,5,high,0,7.4239999999999995,17
79,8.65,8.9,6,Yes,10,1,2,high,1,7.0600000000000005,13
103,9.14,9.19,1,Yes,3,3,1,high,1,4.256,7
108,8.73,9.17,9,Yes,8,5,4,high,1,8.892,17
110,8.15,8.63,8,Yes,7,3,4,high,1,8.06,14
70,7.13,7.63,4,No,8,8,3,high,0,5.252000000000001,19
88,9.51,9.68,7,No,1,2,4,high,0,8.004000000000001,7
86,8.25,8.68,4,Yes,9,2,1,high,1,5.7,12
101,6.99,6.89,8,No,4,1,3,medium,0,7.596,8
107,5.42,5.78,10,No,9,1,3,low,0,8.168,13
122,6.45,6.86,2,No,8,4,5,medium,0,3.7800000000000002,17
92,7.72,8.12,2,No,4,8,1,high,0,4.288,13
92,6.38,6.71,3,Yes,3,8,2,medium,1,4.352,13
117,6.11,6.02,4,Yes,7,8,0,medium,1,4.844,15
104,7.64,7.3,6,Yes,5,1,4,medium,1,6.656,10
119,5.85,5.68,5,Yes,1,1,5,low,1,5.34,7
104,9.0,9.27,10,Yes,7,7,2,high,1,9.6,16
82,7.42,7.15,10,No,4,7,0,medium,0,8.968,11
80,7.87,7.85,7,No,6,10,1,high,0,7.348000000000001,17
76,5.74,5.81,6,No,3,5,4,low,0,5.896,12
109,6.62,6.72,4,No,8,8,2,medium,0,5.048,18
117,7.05,7.49,10,No,1,6,0,medium,0,8.82,7
127,9.04,9.2,9,No,9,1,5,high,0,9.015999999999998,15
112,8.85,9.14,7,Yes,8,7,1,high,1,7.74,16
117,6.11,6.19,1,No,3,8,5,medium,0,3.0440000000000005,16
91,8.08,8.41,8,Yes,5,8,3,high,1,8.032,16
82,6.22,5.98,4,No,4,10,3,low,0,4.888,17
112,9.94,9.65,7,No,2,9,3,high,0,8.176,14
106,9.76,10.19,2,Yes,6,3,1,,1,5.104,10
101,7.82,8.01,3,Yes,3,2,0,high,1,4.928,5
105,8.49,8.66,1,No,0,8,1,high,0,3.9960000000000004,9
104,9.01,8.98,2,No,7,4,3,high,0,4.804,14
119,8.6,8.48,5,No,2,2,1,high,0,6.4399999999999995,5
119,8.5,8.56,2,Yes,5,2,4,high,1,4.6000000000000005,11
108,9.79,9.41,6,No,1,2,0,high,0,7.516,3
112,7.98,7.93,6,Yes,8,5,5,high,1,6.792,18
107,8.18,8.14,6,No,3,8,4,high,0,6.872,15
93,9.25,9.29,3,No,6,9,5,high,0,5.5,20
111,8.35,8.48,3,Yes,8,6,3,high,1,5.14,17
79,8.66,9.12,10,Yes,10,8,0,high,1,9.464,18
115,6.17,6.32,7,Yes,2,6,4,medium,1,6.668,12
82,6.86,7.24,4,No,2,1,1,medium,0,5.144,4
104,5.74,5.8,6,No,2,9,2,low,0,5.896,13
87,7.53,7.66,8,Yes,4,10,5,high,1,7.812,19
108,7.28,6.85,3,Yes,9,7,1,medium,1,4.712,17
99,9.99,9.62,9,Yes,5,2,3,high,1,9.396,10
76,8.06,8.14,9,Yes,2,3,2,high,1,8.623999999999999,7
106,8.93,8.83,3,No,9,2,5,high,0,5.372,16
91,6.67,6.97,6,No,8,9,0,medium,0,6.268,17
113,9.16,9.2,5,No,0,8,5,high,0,6.664,13
100,8.08,8.46,4,Yes,6,5,2,high,1,5.632,13
105,8.48,8.95,8,No,10,4,5,high,0,8.192,19
85,6.47,6.12,10,Yes,8,7,5,medium,1,8.588000000000001,20
91,7.74,7.63,9,No,4,9,0,high,0,8.495999999999999,13
93,8.17,8.33,9,No,2,8,4,high,0,8.668,14
112,7.95,7.76,5,Yes,9,8,5,high,1,6.18,22
125,9.58,9.35,5,Yes,3,2,4,high,1,6.832000000000001,9
87,9.49,9.8,3,No,7,10,5,high,0,5.596,22
116,9.85,10.33,9,No,2,9,5,,0,9.34,16
67,8.34,8.61,1,No,4,2,4,high,0,3.9360000000000004,10
82,9.86,9.88,3,Yes,2,8,4,high,1,5.744,14
85,9.16,9.1,7,Yes,5,5,5,high,1,7.864000000000001,15
79,6.35,6.39,7,Yes,0,6,4,medium,1,6.74,10
76,7.14,7.1,5,Yes,6,10,2,medium,1,5.856,18
106,6.19,6.19,6,No,10,9,0,medium,0,6.0760000000000005,19
96,5.02,4.72,4,No,5,8,4,low,0,4.4079999999999995,17
105,5.94,6.34,8,No,5,5,4,medium,0,7.176,14
110,5.02,5.27,4,Yes,2,6,0,low,1,4.4079999999999995,8
103,8.6,8.78,10,Yes,0,5,2,high,1,9.44,7
109,7.13,7.58,6,No,10,9,5,high,0,6.452,24
98,6.56,6.34,5,No,0,5,4,medium,0,5.6240000000000006,9
82,8.81,8.39,10,No,6,6,5,high,0,9.524000000000001,17
115,9.16,9.49,6,No,3,1,5,high,0,7.263999999999999,9
